percentage_of_viral_covered_retweet_count,nb_of_tweets_labeled_as_viral_retweet_count,thresholds_retweet_count
0.9940476190476191,18379,1674.2982298229822
0.9940476190476191,18312,1683.916891689169
0.9940476190476191,18251,1693.5355535553556
0.9940476190476191,18183,1703.1542154215422
0.9940476190476191,18132,1712.7728772877288
0.9940476190476191,18072,1722.3915391539153
0.9940476190476191,17997,1732.0102010201022
0.9930555555555556,17932,1741.6288628862885
0.9930555555555556,17858,1751.2475247524753
0.9930555555555556,17800,1760.866186618662
0.9930555555555556,17735,1770.4848484848485
0.9920634920634921,17668,1780.103510351035
0.9920634920634921,17613,1789.7221722172217
0.9920634920634921,17559,1799.3408340834085
0.9920634920634921,17516,1808.9594959495948
0.9910714285714286,17453,1818.5781578157817
0.9910714285714286,17387,1828.1968196819682
0.9910714285714286,17338,1837.8154815481548
0.9910714285714286,17269,1847.4341434143414
0.9910714285714286,17205,1857.052805280528
0.9900793650793651,17149,1866.6714671467146
0.9900793650793651,17094,1876.2901290129014
0.9900793650793651,17035,1885.908790879088
0.9900793650793651,16985,1895.5274527452746
0.9900793650793651,16918,1905.1461146114611
0.9900793650793651,16877,1914.7647764776477
0.9890873015873016,16815,1924.3834383438343
0.9890873015873016,16767,1934.0021002100211
0.9890873015873016,16718,1943.6207620762077
0.9890873015873016,16655,1953.2394239423943
0.9890873015873016,16608,1962.8580858085809
0.9890873015873016,16556,1972.4767476747675
0.9880952380952381,16513,1982.095409540954
0.9880952380952381,16461,1991.7140714071406
0.9880952380952381,16413,2001.3327332733274
0.9880952380952381,16370,2010.951395139514
0.9871031746031746,16316,2020.5700570057006
0.9871031746031746,16266,2030.1887188718872
0.9861111111111112,16228,2039.8073807380738
0.9861111111111112,16189,2049.42604260426
0.9851190476190477,16141,2059.044704470447
0.9851190476190477,16099,2068.6633663366338
0.9851190476190477,16050,2078.2820282028206
0.9851190476190477,15998,2087.900690069007
0.9851190476190477,15964,2097.5193519351933
0.9841269841269841,15907,2107.13801380138
0.9841269841269841,15866,2116.756675667567
0.9841269841269841,15816,2126.3753375337533
0.9841269841269841,15778,2135.99399939994
0.9831349206349206,15729,2145.6126612661265
0.9811507936507936,15681,2155.2313231323133
0.9811507936507936,15635,2164.8499849985
0.9811507936507936,15589,2174.4686468646864
0.9811507936507936,15551,2184.087308730873
0.9811507936507936,15512,2193.7059705970596
0.9801587301587301,15472,2203.3246324632464
0.9801587301587301,15435,2212.9432943294332
0.9801587301587301,15395,2222.5619561956196
0.9801587301587301,15355,2232.180618061806
0.9801587301587301,15312,2241.7992799279928
0.9791666666666666,15274,2251.4179417941796
0.9771825396825397,15225,2261.0366036603664
0.9761904761904762,15190,2270.6552655265527
0.9761904761904762,15150,2280.273927392739
